"hist","proj","run","rcp","gcm","cutoff"
0.0434782608695652,0.863636363636364,"End century","RCP6.0","CSIRO-Mk3-6-0",">8 m"
0,0.0454545454545455,"Mid century","RCP6.0","CSIRO-Mk3-6-0",">9 m"
0,0.590909090909091,"End century","RCP6.0","CSIRO-Mk3-6-0",">9 m"
0,0,"Mid century","RCP6.0","CSIRO-Mk3-6-0",">10 m"
0,0.181818181818182,"End century","RCP6.0","CSIRO-Mk3-6-0",">10 m"
0.434782608695652,0.954545454545455,"Mid century","RCP8.5","CSIRO-Mk3-6-0",">6 m"
0.434782608695652,0.954545454545455,"End century","RCP8.5","CSIRO-Mk3-6-0",">6 m"
0.217391304347826,0.818181818181818,"Mid century","RCP8.5","CSIRO-Mk3-6-0",">7 m"
0.217391304347826,0.954545454545455,"End century","RCP8.5","CSIRO-Mk3-6-0",">7 m"
0.130434782608696,0.409090909090909,"Mid century","RCP8.5","CSIRO-Mk3-6-0",">8 m"
0.130434782608696,0.954545454545455,"End century","RCP8.5","CSIRO-Mk3-6-0",">8 m"
0.0869565217391304,0.272727272727273,"Mid century","RCP8.5","CSIRO-Mk3-6-0",">9 m"
0.0869565217391304,0.954545454545455,"End century","RCP8.5","CSIRO-Mk3-6-0",">9 m"
0,0.136363636363636,"Mid century","RCP8.5","CSIRO-Mk3-6-0",">10 m"
0,0.909090909090909,"End century","RCP8.5","CSIRO-Mk3-6-0",">10 m"
0.454545454545455,0.909090909090909,"Mid century","RCP4.5","ACCESS1-0",">6 m"
0.454545454545455,0.954545454545455,"End century","RCP4.5","ACCESS1-0",">6 m"
0.318181818181818,0.909090909090909,"Mid century","RCP4.5","ACCESS1-0",">7 m"
0.318181818181818,0.909090909090909,"End century","RCP4.5","ACCESS1-0",">7 m"
0.227272727272727,0.772727272727273,"Mid century","RCP4.5","ACCESS1-0",">8 m"
0.227272727272727,0.818181818181818,"End century","RCP4.5","ACCESS1-0",">8 m"
0.0454545454545455,0.5,"Mid century","RCP4.5","ACCESS1-0",">9 m"
0.0454545454545455,0.772727272727273,"End century","RCP4.5","ACCESS1-0",">9 m"
0,0.454545454545455,"Mid century","RCP4.5","ACCESS1-0",">10 m"
0,0.681818181818182,"End century","RCP4.5","ACCESS1-0",">10 m"
0.363636363636364,0.954545454545455,"Mid century","RCP8.5","ACCESS1-0",">6 m"
0.363636363636364,0.954545454545455,"End century","RCP8.5","ACCESS1-0",">6 m"
0.363636363636364,0.863636363636364,"Mid century","RCP8.5","ACCESS1-0",">7 m"
0.363636363636364,0.954545454545455,"End century","RCP8.5","ACCESS1-0",">7 m"
0.181818181818182,0.772727272727273,"Mid century","RCP8.5","ACCESS1-0",">8 m"
0.181818181818182,0.954545454545455,"End century","RCP8.5","ACCESS1-0",">8 m"
0.0454545454545455,0.772727272727273,"Mid century","RCP8.5","ACCESS1-0",">9 m"
0.0454545454545455,0.954545454545455,"End century","RCP8.5","ACCESS1-0",">9 m"
0,0.681818181818182,"Mid century","RCP8.5","ACCESS1-0",">10 m"
0,0.954545454545455,"End century","RCP8.5","ACCESS1-0",">10 m"
0.478260869565217,0.818181818181818,"Mid century","RCP2.6","CanESM2",">6 m"
0.478260869565217,0.772727272727273,"End century","RCP2.6","CanESM2",">6 m"
0.391304347826087,0.772727272727273,"Mid century","RCP2.6","CanESM2",">7 m"
0.391304347826087,0.454545454545455,"End century","RCP2.6","CanESM2",">7 m"
0.217391304347826,0.318181818181818,"Mid century","RCP2.6","CanESM2",">8 m"
0.217391304347826,0.272727272727273,"End century","RCP2.6","CanESM2",">8 m"
0.130434782608696,0.181818181818182,"Mid century","RCP2.6","CanESM2",">9 m"
0.130434782608696,0.0909090909090909,"End century","RCP2.6","CanESM2",">9 m"
0.0434782608695652,0,"Mid century","RCP2.6","CanESM2",">10 m"
0.0434782608695652,0.0454545454545455,"End century","RCP2.6","CanESM2",">10 m"
0.565217391304348,0.954545454545455,"Mid century","RCP4.5","CanESM2",">6 m"
0.565217391304348,0.954545454545455,"End century","RCP4.5","CanESM2",">6 m"
0.391304347826087,0.727272727272727,"Mid century","RCP4.5","CanESM2",">7 m"
0.391304347826087,0.863636363636364,"End century","RCP4.5","CanESM2",">7 m"
0.347826086956522,0.545454545454545,"Mid century","RCP4.5","CanESM2",">8 m"
0.347826086956522,0.772727272727273,"End century","RCP4.5","CanESM2",">8 m"
0.130434782608696,0.181818181818182,"Mid century","RCP4.5","CanESM2",">9 m"
0.130434782608696,0.454545454545455,"End century","RCP4.5","CanESM2",">9 m"
0,0.0454545454545455,"Mid century","RCP4.5","CanESM2",">10 m"
0,0.136363636363636,"End century","RCP4.5","CanESM2",">10 m"
0.391304347826087,0.909090909090909,"Mid century","RCP8.5","CanESM2",">6 m"
0.391304347826087,0.954545454545455,"End century","RCP8.5","CanESM2",">6 m"
0.260869565217391,0.863636363636364,"Mid century","RCP8.5","CanESM2",">7 m"
0.260869565217391,0.954545454545455,"End century","RCP8.5","CanESM2",">7 m"
0.260869565217391,0.727272727272727,"Mid century","RCP8.5","CanESM2",">8 m"
0.260869565217391,0.954545454545455,"End century","RCP8.5","CanESM2",">8 m"
0.0869565217391304,0.545454545454545,"Mid century","RCP8.5","CanESM2",">9 m"
0.0869565217391304,0.954545454545455,"End century","RCP8.5","CanESM2",">9 m"
0.0869565217391304,0.227272727272727,"Mid century","RCP8.5","CanESM2",">10 m"
0.0869565217391304,0.909090909090909,"End century","RCP8.5","CanESM2",">10 m"
0.347826086956522,0.80952380952381,"Mid century","RCP2.6","bcc-csm1-1-m",">6 m"
0.347826086956522,0.772727272727273,"End century","RCP2.6","bcc-csm1-1-m",">6 m"
0.130434782608696,0.714285714285714,"Mid century","RCP2.6","bcc-csm1-1-m",">7 m"
0.130434782608696,0.590909090909091,"End century","RCP2.6","bcc-csm1-1-m",">7 m"
0.0869565217391304,0.428571428571429,"Mid century","RCP2.6","bcc-csm1-1-m",">8 m"
0.0869565217391304,0.181818181818182,"End century","RCP2.6","bcc-csm1-1-m",">8 m"
