"lon","lat","date","rain"
"23.75","-28.75",1983-04-01,0.622378349304199
"21.25","-26.25",1983-04-01,0.395613014698029
"23.75","-26.25",1983-04-01,0.466286838054657
"21.25","-28.75",1983-05-01,0.4496930539608
"23.75","-28.75",1983-05-01,0.567536056041718
"21.25","-26.25",1983-05-01,0.529711723327637
"23.75","-26.25",1983-05-01,1.13865041732788
"21.25","-28.75",1983-06-01,0.491858720779419
"23.75","-28.75",1983-06-01,0.534598350524902
"21.25","-26.25",1983-06-01,0.241165265440941
"23.75","-26.25",1983-06-01,0.395907819271088
"21.25","-28.75",1983-07-01,0.0133857037872076
"23.75","-28.75",1983-07-01,0.205638661980629
"21.25","-26.25",1983-07-01,0.0172819569706917
"23.75","-26.25",1983-07-01,0.194593966007233
"21.25","-28.75",1983-08-01,0
"23.75","-28.75",1983-08-01,0.0115946922451258
"21.25","-26.25",1983-08-01,0.00368113862350583
"23.75","-26.25",1983-08-01,0.0890727192163467
"21.25","-28.75",1983-09-01,0.236547529697418
"23.75","-28.75",1983-09-01,0.329510599374771
"21.25","-26.25",1983-09-01,0.0510121174156666
"23.75","-26.25",1983-09-01,0.124615080654621
"21.25","-28.75",1983-10-01,0.319151997566223
"23.75","-28.75",1983-10-01,0.928511917591095
"21.25","-26.25",1983-10-01,0.436222225427628
"23.75","-26.25",1983-10-01,0.670957446098328
"21.25","-28.75",1983-11-01,1.51268577575684
"23.75","-28.75",1983-11-01,2.88821649551392
"21.25","-26.25",1983-11-01,1.52450942993164
"23.75","-26.25",1983-11-01,1.9824333190918
"21.25","-28.75",1983-12-01,1.11798763275146
"23.75","-28.75",1983-12-01,1.99850928783417
"21.25","-26.25",1983-12-01,2.3983302116394
"23.75","-26.25",1983-12-01,2.09258556365967
"21.25","-28.75",1984-01-01,0.0782134905457497
"23.75","-28.75",1984-01-01,0.335518687963486
"21.25","-26.25",1984-01-01,0.330281257629395
"23.75","-26.25",1984-01-01,0.463288336992264
"21.25","-28.75",1984-02-01,0.173612579703331
"23.75","-28.75",1984-02-01,0.765692532062531
"21.25","-26.25",1984-02-01,0.309901595115662
"23.75","-26.25",1984-02-01,0.472381979227066
"21.25","-28.75",1984-03-01,0.975574016571045
"23.75","-28.75",1984-03-01,2.61312198638916
"21.25","-26.25",1984-03-01,1.18089210987091
"23.75","-26.25",1984-03-01,3.02810883522034
"21.25","-28.75",1984-04-01,0.823018312454224
"23.75","-28.75",1984-04-01,0.867878556251526
"21.25","-26.25",1984-04-01,1.56082427501678
"23.75","-26.25",1984-04-01,0.690629363059998
"21.25","-28.75",1984-05-01,0.311643004417419
"23.75","-28.75",1984-05-01,0.551877498626709
"21.25","-26.25",1984-05-01,0.516625106334686
"23.75","-26.25",1984-05-01,0.791270554065704
"21.25","-28.75",1984-06-01,0.508466780185699
"23.75","-28.75",1984-06-01,0.153898373246193
"21.25","-26.25",1984-06-01,0.0240326467901468
"23.75","-26.25",1984-06-01,0.251974135637283
"21.25","-28.75",1984-07-01,0.00170897366479039
"23.75","-28.75",1984-07-01,0.00649676891043782
"21.25","-26.25",1984-07-01,0.00423544179648161
"23.75","-26.25",1984-07-01,0.0111169554293156
"21.25","-28.75",1984-08-01,0.102506168186665
"23.75","-28.75",1984-08-01,0.546418428421021
"21.25","-26.25",1984-08-01,0.00542044686153531
"23.75","-26.25",1984-08-01,0.0943427830934525
"21.25","-28.75",1984-09-01,0.00366554642096162
"23.75","-28.75",1984-09-01,0.0968780219554901
"21.25","-26.25",1984-09-01,0.00211811973713338
"23.75","-26.25",1984-09-01,0.13890965282917
"21.25","-28.75",1984-10-01,0.296437710523605
"23.75","-28.75",1984-10-01,2.07966637611389
"21.25","-26.25",1984-10-01,0.763768315315247
"23.75","-26.25",1984-10-01,1.3874659538269
"21.25","-28.75",1984-11-01,0.23116460442543
"23.75","-28.75",1984-11-01,1.08936536312103
"21.25","-26.25",1984-11-01,0.679222464561462
"23.75","-26.25",1984-11-01,1.25382113456726
"21.25","-28.75",1984-12-01,0.029178187251091
"23.75","-28.75",1984-12-01,0.268208205699921
"21.25","-26.25",1984-12-01,0.098469041287899
"23.75","-26.25",1984-12-01,0.778307557106018
"21.25","-28.75",1985-01-01,0.798244059085846
"23.75","-28.75",1985-01-01,1.083012342453
"21.25","-26.25",1985-01-01,1.46964693069458
"23.75","-26.25",1985-01-01,1.636101603508
"21.25","-28.75",1985-02-01,1.13546824455261
"23.75","-28.75",1985-02-01,2.6344587802887
"21.25","-26.25",1985-02-01,1.40436601638794
"23.75","-26.25",1985-02-01,2.66449046134949
"21.25","-28.75",1985-03-01,0.783701479434967
"23.75","-28.75",1985-03-01,1.51270580291748
"21.25","-26.25",1985-03-01,0.560703277587891
"23.75","-26.25",1985-03-01,1.04455423355103
"21.25","-28.75",1985-04-01,0.252781361341476
"23.75","-28.75",1985-04-01,0.207888752222061
"21.25","-26.25",1985-04-01,0.123718738555908
"23.75","-26.25",1985-04-01,0.0937435105443001
"21.25","-28.75",1985-05-01,0.0763955861330032
"23.75","-28.75",1985-05-01,0.0690473765134811
"21.25","-26.25",1985-05-01,0.0401110798120499
"23.75","-26.25",1985-05-01,0.00907592102885246
"21.25","-28.75",1985-06-01,0.0166958309710026
"23.75","-28.75",1985-06-01,0.0140204420313239
"21.25","-26.25",1985-06-01,0.00693628191947937
"23.75","-26.25",1985-06-01,0.00099782831966877
"21.25","-28.75",1985-07-01,0.00215960736386478
"23.75","-28.75",1985-07-01,0.00150031119119376
"21.25","-26.25",1985-07-01,0.00115547701716423
"23.75","-26.25",1985-07-01,0.000587371236179024
"21.25","-28.75",1985-08-01,0
"23.75","-28.75",1985-08-01,0.0134664922952652
"21.25","-26.25",1985-08-01,0.00187356432434171
"23.75","-26.25",1985-08-01,0.00365554820746183
"21.25","-28.75",1985-09-01,0.170129030942917
"23.75","-28.75",1985-09-01,0.292101383209229
