"hist","proj","run","rcp","gcm","cutoff"
0.130434782608696,0.619047619047619,"mid century","RCP6.0","GISS-E2-H",">8 m"
0.130434782608696,0.952380952380952,"end century","RCP6.0","GISS-E2-H",">8 m"
0.0434782608695652,0.523809523809524,"mid century","RCP6.0","GISS-E2-H",">9 m"
0.0434782608695652,0.952380952380952,"end century","RCP6.0","GISS-E2-H",">9 m"
0.0434782608695652,0.238095238095238,"mid century","RCP6.0","GISS-E2-H",">10 m"
0.0434782608695652,0.904761904761905,"end century","RCP6.0","GISS-E2-H",">10 m"
0.478260869565217,0.952380952380952,"mid century","RCP8.5","GISS-E2-H",">6 m"
0.478260869565217,1,"end century","RCP8.5","GISS-E2-H",">6 m"
0.347826086956522,0.857142857142857,"mid century","RCP8.5","GISS-E2-H",">7 m"
0.347826086956522,1,"end century","RCP8.5","GISS-E2-H",">7 m"
0.217391304347826,0.714285714285714,"mid century","RCP8.5","GISS-E2-H",">8 m"
0.217391304347826,1,"end century","RCP8.5","GISS-E2-H",">8 m"
0.0869565217391304,0.523809523809524,"mid century","RCP8.5","GISS-E2-H",">9 m"
0.0869565217391304,1,"end century","RCP8.5","GISS-E2-H",">9 m"
0.0869565217391304,0.380952380952381,"mid century","RCP8.5","GISS-E2-H",">10 m"
0.0869565217391304,0.904761904761905,"end century","RCP8.5","GISS-E2-H",">10 m"
0.434782608695652,0.857142857142857,"mid century","RCP4.5","inmcm4",">6 m"
0.434782608695652,0.954545454545455,"end century","RCP4.5","inmcm4",">6 m"
0.173913043478261,0.666666666666667,"mid century","RCP4.5","inmcm4",">7 m"
0.173913043478261,0.772727272727273,"end century","RCP4.5","inmcm4",">7 m"
0.0869565217391304,0.380952380952381,"mid century","RCP4.5","inmcm4",">8 m"
0.0869565217391304,0.590909090909091,"end century","RCP4.5","inmcm4",">8 m"
0.0434782608695652,0.238095238095238,"mid century","RCP4.5","inmcm4",">9 m"
0.0434782608695652,0.363636363636364,"end century","RCP4.5","inmcm4",">9 m"
0,0.0476190476190476,"mid century","RCP4.5","inmcm4",">10 m"
0,0.136363636363636,"end century","RCP4.5","inmcm4",">10 m"
0.347826086956522,0.952380952380952,"mid century","RCP8.5","inmcm4",">6 m"
0.347826086956522,0.954545454545455,"end century","RCP8.5","inmcm4",">6 m"
0.130434782608696,0.904761904761905,"mid century","RCP8.5","inmcm4",">7 m"
0.130434782608696,0.954545454545455,"end century","RCP8.5","inmcm4",">7 m"
0.0434782608695652,0.761904761904762,"mid century","RCP8.5","inmcm4",">8 m"
0.0434782608695652,0.954545454545455,"end century","RCP8.5","inmcm4",">8 m"
0,0.476190476190476,"mid century","RCP8.5","inmcm4",">9 m"
0,0.954545454545455,"end century","RCP8.5","inmcm4",">9 m"
0,0.285714285714286,"mid century","RCP8.5","inmcm4",">10 m"
0,0.863636363636364,"end century","RCP8.5","inmcm4",">10 m"
0.304347826086957,0.761904761904762,"mid century","RCP2.6","FIO-ESM",">6 m"
0.304347826086957,0.5,"end century","RCP2.6","FIO-ESM",">6 m"
0.260869565217391,0.571428571428571,"mid century","RCP2.6","FIO-ESM",">7 m"
0.260869565217391,0.318181818181818,"end century","RCP2.6","FIO-ESM",">7 m"
0.0869565217391304,0.380952380952381,"mid century","RCP2.6","FIO-ESM",">8 m"
0.0869565217391304,0.0454545454545455,"end century","RCP2.6","FIO-ESM",">8 m"
0,0.285714285714286,"mid century","RCP2.6","FIO-ESM",">9 m"
0,0,"end century","RCP2.6","FIO-ESM",">9 m"
0,0.0476190476190476,"mid century","RCP2.6","FIO-ESM",">10 m"
0,0,"end century","RCP2.6","FIO-ESM",">10 m"
0.260869565217391,0.904761904761905,"mid century","RCP4.5","FIO-ESM",">6 m"
0.260869565217391,0.909090909090909,"end century","RCP4.5","FIO-ESM",">6 m"
0.217391304347826,0.80952380952381,"mid century","RCP4.5","FIO-ESM",">7 m"
0.217391304347826,0.772727272727273,"end century","RCP4.5","FIO-ESM",">7 m"
0,0.666666666666667,"mid century","RCP4.5","FIO-ESM",">8 m"
0,0.545454545454545,"end century","RCP4.5","FIO-ESM",">8 m"
0,0.476190476190476,"mid century","RCP4.5","FIO-ESM",">9 m"
0,0.5,"end century","RCP4.5","FIO-ESM",">9 m"
0,0.142857142857143,"mid century","RCP4.5","FIO-ESM",">10 m"
0,0.272727272727273,"end century","RCP4.5","FIO-ESM",">10 m"
0.260869565217391,0.857142857142857,"mid century","RCP6.0","FIO-ESM",">6 m"
0.260869565217391,0.909090909090909,"end century","RCP6.0","FIO-ESM",">6 m"
0.217391304347826,0.761904761904762,"mid century","RCP6.0","FIO-ESM",">7 m"
0.217391304347826,0.909090909090909,"end century","RCP6.0","FIO-ESM",">7 m"
0.0869565217391304,0.619047619047619,"mid century","RCP6.0","FIO-ESM",">8 m"
0.0869565217391304,0.772727272727273,"end century","RCP6.0","FIO-ESM",">8 m"
0.0434782608695652,0.476190476190476,"mid century","RCP6.0","FIO-ESM",">9 m"
0.0434782608695652,0.5,"end century","RCP6.0","FIO-ESM",">9 m"
0,0.333333333333333,"mid century","RCP6.0","FIO-ESM",">10 m"
0,0.318181818181818,"end century","RCP6.0","FIO-ESM",">10 m"
0.391304347826087,1,"mid century","RCP8.5","FIO-ESM",">6 m"
0.391304347826087,0.954545454545455,"end century","RCP8.5","FIO-ESM",">6 m"
0.217391304347826,0.904761904761905,"mid century","RCP8.5","FIO-ESM",">7 m"
0.217391304347826,0.954545454545455,"end century","RCP8.5","FIO-ESM",">7 m"
0.130434782608696,0.761904761904762,"mid century","RCP8.5","FIO-ESM",">8 m"
